"V1"	"V2"	"Cat"
"579"	114	1194.04934746052	"fancy greedy"
"580"	120	1199.81782583027	"fancy greedy"
"581"	117	1247.43960529373	"fancy greedy"
"582"	132	1358.55386288669	"fancy greedy"
"583"	121	1237.75582122796	"fancy greedy"
"584"	117	1219.15223589321	"fancy greedy"
"585"	120	1247.5032200865	"fancy greedy"
"586"	131	1362.90294686528	"fancy greedy"
"587"	130	1337.80717772864	"fancy greedy"
"588"	114	1194.14805294055	"fancy greedy"
"589"	126	1337.02089100248	"fancy greedy"
"590"	113	1164.19413875624	"fancy greedy"
"591"	128	1323.93360675414	"fancy greedy"
"592"	117	1238.44061394823	"fancy greedy"
"593"	119	1229.32111813486	"fancy greedy"
"594"	129	1336.23986902553	"fancy greedy"
"595"	135	1398.10925583369	"fancy greedy"
"596"	127	1338.12167002332	"fancy greedy"
"597"	117	1236.04313645909	"fancy greedy"
"598"	138	1471.69132747906	"fancy greedy"
"599"	128	1320.33766661786	"fancy greedy"
"600"	136	1374.70324623714	"fancy greedy"
"601"	121	1268.23032638913	"fancy greedy"
"602"	118	1240.63655709104	"fancy greedy"
"603"	126	1273.19947647711	"fancy greedy"
"604"	113	1153.27676108021	"fancy greedy"
"605"	127	1320.93973947218	"fancy greedy"
"606"	110	1132.1857313102	"fancy greedy"
"607"	127	1301.47256385173	"fancy greedy"
"608"	134	1342.3358020921	"fancy greedy"
"609"	120	1273.82967531249	"fancy greedy"
"610"	119	1218.52599487335	"fancy greedy"
"611"	132	1361.02263672339	"fancy greedy"
"612"	141	1429.04180572717	"fancy greedy"
"613"	113	1156.74294301353	"fancy greedy"
"614"	128	1337.01598130664	"fancy greedy"
"615"	117	1218.02949241712	"fancy greedy"
"616"	128	1384.86586556484	"fancy greedy"
"617"	121	1286.47033851106	"fancy greedy"
"618"	116	1219.29875318934	"fancy greedy"
"619"	124	1255.80616092035	"fancy greedy"
"620"	128	1248.26391671572	"fancy greedy"
"621"	129	1345.1215292415	"fancy greedy"
"622"	114	1173.56317262378	"fancy greedy"
"623"	130	1391.63471587379	"fancy greedy"
"624"	127	1273.2125613449	"fancy greedy"
"625"	126	1299.91380588317	"fancy greedy"
"626"	141	1473.27383989637	"fancy greedy"
"627"	120	1252.05235012026	"fancy greedy"
"628"	130	1354.62884734929	"fancy greedy"
"629"	114	1211.48461468722	"fancy greedy"
"630"	116	1154.9191818602	"fancy greedy"
"631"	133	1347.60898513411	"fancy greedy"
"632"	136	1391.66533119059	"fancy greedy"
"633"	133	1420.8200663895	"fancy greedy"
"634"	127	1321.45457707664	"fancy greedy"
"635"	121	1196.30055867222	"fancy greedy"
"636"	128	1336.87826894886	"fancy greedy"
"637"	120	1289.28667687672	"fancy greedy"
"638"	117	1199.08250239164	"fancy greedy"
"639"	135	1407.06922107364	"fancy greedy"
"640"	113	1162.6890647349	"fancy greedy"
"641"	128	1378.97663310239	"fancy greedy"
"642"	126	1334.50368633079	"fancy greedy"
"643"	133	1391.95404291402	"fancy greedy"
"644"	118	1182.35463817415	"fancy greedy"
"645"	126	1293.28268662271	"fancy greedy"
"646"	112	1163.76525369545	"fancy greedy"
"647"	132	1347.26513935294	"fancy greedy"
"648"	123	1239.49799941825	"fancy greedy"
"649"	109	1133.51982676547	"fancy greedy"
"650"	129	1340.69687531612	"fancy greedy"
"651"	129	1333.27487599386	"fancy greedy"
"652"	128	1355.95685330452	"fancy greedy"
"653"	106	1048.29296123692	"fancy greedy"
"654"	131	1363.13671562452	"fancy greedy"
"655"	137	1362.47767530987	"fancy greedy"
